brewery_id;name;cat_id;style_id;abv
404;Island Pale Ale (IPA);3;31;7
68;Dorado Double IPA;3;32;9,6
1204;Levitation Ale;3;33;4,4
1204;Imperial Stout 2003;3;42;9,4
29;Pure Hoppiness;3;32;8
1204;Smoked Porter;2;25;5,9
1204;Stone Pale Ale;3;26;5,4
936;Torrey Pines IPA;3;31;6,8
936;Sunset Amber Ale;3;33;5
936;Paradise Pale Ale;3;26;4,8
936;Sweet Spot Hefe;4;50;5,5
936;California Gold;8;95;4,5
1009;Broken Keg Ice Bock;7;90;15
1009;Z-U-Later Doppelbock;7;90;8
1009;Frank Double IPA;3;31;8,5
731;Downtown After Dark;3;38;12
1181;Sprecher Russian Imperial Stout;3;43;8,5
1181;Sprecher Abbey Triple;5;61;8,41
696;Blackfriar;1;15;7
306;Rycerskie;7;90;7
358;Satin Solstice Imperial Stout;3;43;7,5
540;Heller Hound Bock Beer;7;91;6,2
765;Sirius;11;113;7
299;Troubadour;3;26;6,5
322;Empire India Pale Ale;1;2;7,5
671;Thunder Storm;8;95;5
321;Roggenbier;8;95;5,5
913;Dark Pilsener;8;95;5,5
1298;Northwind Imperial Stout;3;42;7,5
268;Geuze Boon;5;70;6
1115;Samichlaus Bier 2003;7;90;14
961;Porter IV;3;42;7,2
659;Doppel-Hirsch Bavarian-Doppelbock;7;90;7,2
255;Bottle Conditioned Porter;2;25;5,5
255;Black Strap Stout;3;42;6
659;Bavarian-Weissbier Hefeweisse / Weisser Hirsch;4;50;5,2
853;Celis White;5;72;3,9
255;Bridgeport India Pale Ale;3;31;5,5
1204;7th Anniversary IPA;3;31;7,7
993;Porter Boom;2;25;8
1290;Bajuvator Doppelbock;7;90;7,2
520;Roundabout Oatmeal Stout;1;21;6
919;Old Stock Ale 2002;1;13;11,4
1204;Ruination IPA;3;32;7,7
62;Salvation;5;72;9
803;Downtown Brown;3;38;5
1181;Sprecher Oktoberfest;7;84;5,75
94;Hop Rod Rye;3;32;8
512;Saranac Hefeweizen;4;50;5,6
1301;Chief Blackhawk Porter;2;25;5,6
619;Dort;7;90;6,5
1219;Sherwood Forest IPA;3;31;6
549;Centennial IPA;3;31;7,2
1260;Dreadnaught Imperial IPA;3;32;9,5
463;Dubbel Dragon;5;72;7,2
1169;Red Lager;8;95;4,6
550;Blackburn Doppelbock;7;90;7,9
947;Porter;2;25;6
347;Scottish Ale;1;15;5,8
779;Left Hand Milk Stout;1;20;5,9
1181;Special Amber;8;95;5
1217;Malteser Weissbier;4;50;5
40;Doppelbock Dunkel;7;90;7
752;Schwarzbier;7;86;4,8
604;Bee Sting Honey Ale;3;26;5,9
1243;The Iron Tankard;3;33;9,4
637;A. LeCoq Imperial Extra Double Stout 2000;3;42;9
93;Genuine Irish Stout;3;42;4,1
287;Liefmans Kriekbier;5;70;6
520;Manifesto Pale Ale;3;26;5,3
727;Harvest Ale 2000;1;13;11,5
94;Racer 5 IPA;3;31;7
919;Old Stock Ale 2001;1;13;11,4
94;Big Bear Black Stout;3;43;8,1
857;Tripel Crown;5;61;10
572;Prize Old Ale;1;13;9
832;Weissbier Hell;4;50;5,2
309;Porter;3;42;9,5
742;Hitachino Nest Sweet Stout;3;42;3,5
563;Vintage Ale 1999;1;13;8,5
171;Abbaye de Saint-Martin Blonde;5;65;7
1037;Pilsener;7;77;4,8
1020;Alt;3;38;4,8
381;Pale Ale;8;95;5,5
392;Stite Golden Pilsner;8;95;4,7
465;Bak;7;90;7,3
705;Pale Ale;3;26;5,8
1176;MÃ¼nchner Hell / Premium Lager;8;95;5,2
88;Kristall Weissbier;4;50;5,4
1176;Franziskaner Hefe-Weissbier Hell  / Franziskaner Club-Weiss;4;50;5
220;Alt;3;38;4,6
746;Braunbier;7;84;5,7
746;Bockbier;7;90;7
733;Weissbier;4;50;4,8
208;Weizla Hell;4;50;5
819;Eine Bamberger Weisse Hell;4;50;5,2
804;Triumphator;7;90;7,6
385;Pale Ale;3;26;5
1181;Hefe Weiss;4;50;4,2
1181;Winter Brew;7;90;5,75
1181;Black Bavarian Lager;7;86;5,86
520;Donner Party Porter;2;25;6,7
744;Black Abbot / Schwarzer Abt;7;86;3,9
727;Harvest Ale 2001;1;13;11,5
160;Hazed & Infused Dry-Hopped Ale;3;26;4,85
643;Not Tonight Honey Porter;2;25;6,5
374;Sunset Red Ale;3;26;5
1285;Imperial Stout;3;42;9
21;IPA;3;31;7,25
771;Boss Hog Double IPA;3;32;10,1
905;1554 Enlightened Black Ale;5;72;5,5
557;Deep Shaft Stout;3;42;6,2
259;East India Pale Ale;3;31;6,8
566;Perfect Stout;3;42;4,8
566;Harvest Ale;7;84;5,6
566;Bison Brown;3;38;5
1280;Yorkshire Stout;3;42;4,5
1280;Hathor Red Lager;8;95;5,4
652;India Pale Ale;3;26;5,2
888;North of the Border Porter;2;25;6
888;Dells Chief Amber Ale;3;33;4,5
888;Weissbier;4;50;5
888;Pilsner;8;95;4,5
888;Schmitz Pale Ale No. 5;3;26;4,5
1314;Mullin Brown;3;38;4,8
1314;Hefeweizen;4;50;4,2
1314;Pale Pale Boss Ale;3;26;4,8
1314;Bartles and Lager;8;95;4
1204;Imperial Stout 2002;3;42;9,47
1268;Weizen Bock;4;55;10
484;Ur-Bock Hell;7;90;6,5
930;Gnaw Bone Pale Ale;3;26;5,5
930;Meridian Street Premium Lager;8;95;4,8
557;Trafalgar IPA;3;31;6
886;Canadian Lager Beer;8;95;5
1290;Helles Hefe Weizen;4;50;5,3
947;Nut Brown Ale;3;38;4,8
947;American Pale Ale;3;26;5,2
791;Lion Stout;3;42;8
1181;Sprecher Maibock;7;91;6
810;John Barleycorn Barleywine Style Ale;3;35;9
1271;Butthead Doppelbock;7;92;8,2
110;La Trappe Tripel;5;61;8
